Country,Symptom,Gender,Condition,0-30,30-60,>60,0-30-per,30-60-per,>60-per
Aleppo,abdominal pain,M,H,12359,93210,5761,11.10123058,83.72406359,5.17470583
Aleppo,abdominal pain,M,D,1341,10070,612,11.15362222,83.75613408,5.0902437
Aleppo,abdominal pain,F,H,12162,93177,5806,10.94246255,83.83373071,5.223806739
Aleppo,abdominal pain,F,D,1279,10077,647,10.65566942,83.9540115,5.390319087
Aleppo,abdominal pain,T,H,24521,186387,11567,11.02191257,83.77885156,5.199235869
Aleppo,abdominal pain,T,D,2620,20147,1259,10.90485308,83.85499043,5.240156497
Aleppo,abscess,M,H,152,1085,52,11.79208689,84.17377812,4.034134988
Aleppo,abscess,M,D,0,2,1,0,66.66666667,33.33333333
Aleppo,abscess,F,H,145,1090,63,11.17103236,83.97534669,4.853620955
Aleppo,abscess,F,D,0,2,0,0,100,0
Aleppo,abscess,T,H,297,2175,115,11.48047932,84.07421724,4.44530344
Aleppo,abscess,T,D,0,4,1,0,80,20
Aleppo,injury,M,H,7035,55910,3223,10.63202757,84.49703784,4.870934591
Aleppo,injury,M,D,84,739,55,9.567198178,84.16856492,6.264236902
Aleppo,injury,F,H,7032,55827,3383,10.61562151,84.2773467,5.107031793
Aleppo,injury,F,D,105,735,38,11.95899772,83.71298405,4.328018223
Aleppo,injury,T,H,14067,111737,6606,10.62381995,84.38713088,4.989049165
Aleppo,injury,T,D,189,1474,93,10.76309795,83.94077449,5.296127563
Aleppo,bleeding,M,H,4428,33613,2186,11.00753225,83.55830661,5.434161136
Aleppo,bleeding,M,D,324,2371,148,11.39641224,83.39781921,5.205768554
Aleppo,bleeding,F,H,4488,34119,2018,11.04738462,83.98523077,4.967384615
Aleppo,bleeding,F,D,287,2477,166,9.795221843,84.53924915,5.66552901
Aleppo,bleeding,T,H,8916,67732,4204,11.02755652,83.77281947,5.199624004
Aleppo,bleeding,T,D,611,4848,314,10.58375195,83.97713494,5.439113113
Aleppo,body pain,M,H,29339,224245,13329,10.99197117,84.01426682,4.993762012
Aleppo,body pain,M,D,1350,10217,625,11.07283465,83.80085302,5.126312336
Aleppo,body pain,F,H,29057,223364,13491,10.92729926,83.99921779,5.073482957
Aleppo,body pain,F,D,1335,10175,650,10.97861842,83.67598684,5.345394737
Aleppo,body pain,T,H,58396,447609,26820,10.95969596,84.00675644,5.0335476
Aleppo,body pain,T,D,2685,20392,1275,11.02578844,83.73850197,5.235709593
Aleppo,breathing,M,H,269,2216,108,10.37408407,85.46085615,4.165059776
Aleppo,breathing,M,D,1,4,0,20,80,0
Aleppo,breathing,F,H,277,2180,125,10.72811774,84.4306739,4.841208366
Aleppo,breathing,F,D,0,0,0,0,0,0
Aleppo,breathing,T,H,546,4396,233,10.55072464,84.9468599,4.502415459
Aleppo,breathing,T,D,1,4,0,20,80,0
Aleppo,chest,M,H,0,0,0,0,0,0
Aleppo,chest,M,D,0,0,0,0,0,0
Aleppo,chest,F,H,0,0,0,0,0,0
Aleppo,chest,F,D,0,0,0,0,0,0
Aleppo,chest,T,H,0,0,0,0,0,0
Aleppo,chest,T,D,0,0,0,0,0,0
Aleppo,cough,M,H,2490,20004,1172,10.52142314,84.52632469,4.952252176
Aleppo,cough,M,D,2,19,0,9.523809524,90.47619048,0
Aleppo,cough,F,H,2529,20081,1182,10.6296234,84.40232011,4.96805649
Aleppo,cough,F,D,5,26,0,16.12903226,83.87096774,0
Aleppo,cough,T,H,5019,40085,2354,10.57566691,84.46415778,4.960175313
Aleppo,cough,T,D,7,45,0,13.46153846,86.53846154,0
Aleppo,cramp,M,H,0,0,0,0,0,0
Aleppo,cramp,M,D,0,0,0,0,0,0
Aleppo,cramp,F,H,0,0,0,0,0,0
Aleppo,cramp,F,D,0,0,0,0,0,0
Aleppo,cramp,T,H,0,0,0,0,0,0
Aleppo,cramp,T,D,0,0,0,0,0,0
Aleppo,deficit,M,H,0,0,0,0,0,0
Aleppo,deficit,M,D,0,0,0,0,0,0
Aleppo,deficit,F,H,0,0,0,0,0,0
Aleppo,deficit,F,D,0,0,0,0,0,0
Aleppo,deficit,T,H,0,0,0,0,0,0
Aleppo,deficit,T,D,0,0,0,0,0,0
Aleppo,diabetic,M,H,0,0,0,0,0,0
Aleppo,diabetic,M,D,0,0,0,0,0,0
Aleppo,diabetic,F,H,0,0,0,0,0,0
Aleppo,diabetic,F,D,0,0,0,0,0,0
Aleppo,diabetic,T,H,0,0,0,0,0,0
Aleppo,diabetic,T,D,0,0,0,0,0,0
Aleppo,diarrhea,M,H,0,0,0,0,0,0
Aleppo,diarrhea,M,D,0,0,0,0,0,0
Aleppo,diarrhea,F,H,0,0,0,0,0,0
Aleppo,diarrhea,F,D,0,0,0,0,0,0
Aleppo,diarrhea,T,H,0,0,0,0,0,0
Aleppo,diarrhea,T,D,0,0,0,0,0,0
Aleppo,dizziness,M,H,835,6605,373,10.68731601,84.53858953,4.774094458
Aleppo,dizziness,M,D,1,6,1,12.5,75,12.5
Aleppo,dizziness,F,H,870,6689,429,10.89133701,83.73810716,5.370555834
Aleppo,dizziness,F,D,0,6,1,0,85.71428571,14.28571429
Aleppo,dizziness,T,H,1705,13294,802,10.7904563,84.13391557,5.075628125
Aleppo,dizziness,T,D,1,12,2,6.666666667,80,13.33333333
Aleppo,fatigue,M,H,0,0,0,0,0,0
Aleppo,fatigue,M,D,0,0,0,0,0,0
Aleppo,fatigue,F,H,0,0,0,0,0,0
Aleppo,fatigue,F,D,0,0,0,0,0,0
Aleppo,fatigue,T,H,0,0,0,0,0,0
Aleppo,fatigue,T,D,0,0,0,0,0,0
Aleppo,fever,M,H,10527,80879,4949,10.92522443,83.93856053,5.136215038
Aleppo,fever,M,D,513,4183,273,10.32400885,84.18192795,5.494063192
Aleppo,fever,F,H,10389,81105,4802,10.78861012,84.22468223,4.986707651
Aleppo,fever,F,D,520,4121,300,10.52418539,83.4041692,6.071645416
Aleppo,fever,T,H,20916,161984,9751,10.85693819,84.08157757,5.061484238
Aleppo,fever,T,D,1033,8304,573,10.42381433,83.79414733,5.782038345
Aleppo,headache,M,H,2447,19205,1220,10.69867086,83.96729626,5.334032879
Aleppo,headache,M,D,56,388,22,12.01716738,83.26180258,4.721030043
Aleppo,headache,F,H,2497,19320,1236,10.83156205,83.8068798,5.361558149
Aleppo,headache,F,D,46,363,26,10.57471264,83.44827586,5.977011494
Aleppo,headache,T,H,4944,38525,2456,10.76537833,83.88677191,5.347849755
Aleppo,headache,T,D,102,751,48,11.32075472,83.3518313,5.327413984
Aleppo,infections,M,H,0,0,0,0,0,0
Aleppo,infections,M,D,0,0,0,0,0,0
Aleppo,infections,F,H,0,0,0,0,0,0
Aleppo,infections,F,D,0,0,0,0,0,0
Aleppo,infections,T,H,0,0,0,0,0,0
Aleppo,infections,T,D,0,0,0,0,0,0
Aleppo,laceration,M,H,1089,8805,529,10.44804759,84.4766382,5.075314209
Aleppo,laceration,M,D,2,7,0,22.22222222,77.77777778,0
Aleppo,laceration,F,H,1132,8843,490,10.81700908,84.50071667,4.682274247
Aleppo,laceration,F,D,2,7,0,22.22222222,77.77777778,0
