COUNTRY,DATE,SYMPTOM,DEATHS
Aleppo,4/16/2009,abdominal pain,0
Aleppo,4/16/2009,abscess,0
Aleppo,4/16/2009,injury,0
Aleppo,4/16/2009,bleeding,0
Aleppo,4/16/2009,body pain,0
Aleppo,4/16/2009,breathing,0
Aleppo,4/16/2009,chest,0
Aleppo,4/16/2009,cough,0
Aleppo,4/16/2009,cramp,0
Aleppo,4/16/2009,deficit,0
Aleppo,4/16/2009,diabetic,0
Aleppo,4/16/2009,diarrhea,0
Aleppo,4/16/2009,dizziness,0
Aleppo,4/16/2009,fatigue,0
Aleppo,4/16/2009,fever,0
Aleppo,4/16/2009,headache,0
Aleppo,4/16/2009,infections,0
Aleppo,4/16/2009,laceration,0
Aleppo,4/16/2009,migraine,0
Aleppo,4/16/2009,pregnant,0
Aleppo,4/16/2009,rash,0
Aleppo,4/16/2009,urinate,0
Aleppo,4/16/2009,vaginal,0
Aleppo,4/16/2009,vision,0
Aleppo,4/16/2009,vomiting,0
Aleppo,4/16/2009,Heart Problems,0
Aleppo,4/16/2009,Vocal Problems,0
Aleppo,4/16/2009,others,0
Aleppo,4/17/2009,abdominal pain,0
Aleppo,4/17/2009,abscess,0
Aleppo,4/17/2009,injury,0
Aleppo,4/17/2009,bleeding,0
Aleppo,4/17/2009,body pain,0
Aleppo,4/17/2009,breathing,0
Aleppo,4/17/2009,chest,0
Aleppo,4/17/2009,cough,0
Aleppo,4/17/2009,cramp,0
Aleppo,4/17/2009,deficit,0
Aleppo,4/17/2009,diabetic,0
Aleppo,4/17/2009,diarrhea,0
Aleppo,4/17/2009,dizziness,0
Aleppo,4/17/2009,fatigue,0
Aleppo,4/17/2009,fever,0
Aleppo,4/17/2009,headache,0
Aleppo,4/17/2009,infections,0
Aleppo,4/17/2009,laceration,0
Aleppo,4/17/2009,migraine,0
Aleppo,4/17/2009,pregnant,0
Aleppo,4/17/2009,rash,0
Aleppo,4/17/2009,urinate,0
Aleppo,4/17/2009,vaginal,0
Aleppo,4/17/2009,vision,0
Aleppo,4/17/2009,vomiting,0
Aleppo,4/17/2009,Heart Problems,0
Aleppo,4/17/2009,Vocal Problems,0
