COUNTRY,DATE,SYMPTOM,HOSPITALIZED
Aleppo,4/16/2009,abdominal pain,978
Aleppo,4/16/2009,abscess,37
Aleppo,4/16/2009,injury,1830
Aleppo,4/16/2009,bleeding,653
Aleppo,4/16/2009,body pain,5606
Aleppo,4/16/2009,breathing,94
Aleppo,4/16/2009,chest,0
Aleppo,4/16/2009,cough,701
Aleppo,4/16/2009,cramp,0
Aleppo,4/16/2009,deficit,0
Aleppo,4/16/2009,diabetic,0
Aleppo,4/16/2009,diarrhea,0
Aleppo,4/16/2009,dizziness,215
Aleppo,4/16/2009,fatigue,0
Aleppo,4/16/2009,fever,1937
Aleppo,4/16/2009,headache,602
Aleppo,4/16/2009,infections,0
Aleppo,4/16/2009,laceration,305
Aleppo,4/16/2009,migraine,47
Aleppo,4/16/2009,pregnant,20
Aleppo,4/16/2009,rash,0
Aleppo,4/16/2009,urinate,354
Aleppo,4/16/2009,vaginal,9
Aleppo,4/16/2009,vision,237
Aleppo,4/16/2009,vomiting,1296
Aleppo,4/16/2009,Heart Problems,230
Aleppo,4/16/2009,Vocal Problems,37
Aleppo,4/16/2009,others,12447
Aleppo,4/17/2009,abdominal pain,954
Aleppo,4/17/2009,abscess,46
Aleppo,4/17/2009,injury,1808
Aleppo,4/17/2009,bleeding,645
Aleppo,4/17/2009,body pain,5541
Aleppo,4/17/2009,breathing,59
Aleppo,4/17/2009,chest,0
Aleppo,4/17/2009,cough,707
Aleppo,4/17/2009,cramp,0
Aleppo,4/17/2009,deficit,0
Aleppo,4/17/2009,diabetic,0
Aleppo,4/17/2009,diarrhea,0
Aleppo,4/17/2009,dizziness,243
Aleppo,4/17/2009,fatigue,0
Aleppo,4/17/2009,fever,1885
Aleppo,4/17/2009,headache,602
Aleppo,4/17/2009,infections,0
Aleppo,4/17/2009,laceration,345
Aleppo,4/17/2009,migraine,32
Aleppo,4/17/2009,pregnant,11
Aleppo,4/17/2009,rash,0
Aleppo,4/17/2009,urinate,355
Aleppo,4/17/2009,vaginal,10
Aleppo,4/17/2009,vision,235
Aleppo,4/17/2009,vomiting,1293
Aleppo,4/17/2009,Heart Problems,248
Aleppo,4/17/2009,Vocal Problems,45
Aleppo,4/17/2009,others,12247
Aleppo,4/18/2009,abdominal pain,825
Aleppo,4/18/2009,abscess,34
Aleppo,4/18/2009,injury,1554
Aleppo,4/18/2009,bleeding,504
Aleppo,4/18/2009,body pain,4752
Aleppo,4/18/2009,breathing,77
Aleppo,4/18/2009,chest,0
Aleppo,4/18/2009,cough,607
Aleppo,4/18/2009,cramp,0
Aleppo,4/18/2009,deficit,0
Aleppo,4/18/2009,diabetic,0
Aleppo,4/18/2009,diarrhea,0
Aleppo,4/18/2009,dizziness,187
Aleppo,4/18/2009,fatigue,0
Aleppo,4/18/2009,fever,1603
Aleppo,4/18/2009,headache,514
Aleppo,4/18/2009,infections,0
Aleppo,4/18/2009,laceration,291
Aleppo,4/18/2009,migraine,24
Aleppo,4/18/2009,pregnant,19
Aleppo,4/18/2009,rash,0
Aleppo,4/18/2009,urinate,269
Aleppo,4/18/2009,vaginal,6
Aleppo,4/18/2009,vision,214
Aleppo,4/18/2009,vomiting,1045
Aleppo,4/18/2009,Heart Problems,189
Aleppo,4/18/2009,Vocal Problems,32
Aleppo,4/18/2009,others,10582
Aleppo,4/19/2009,abdominal pain,832
Aleppo,4/19/2009,abscess,43
Aleppo,4/19/2009,injury,1598
Aleppo,4/19/2009,bleeding,571
Aleppo,4/19/2009,body pain,5059
Aleppo,4/19/2009,breathing,70
Aleppo,4/19/2009,chest,0
Aleppo,4/19/2009,cough,678
Aleppo,4/19/2009,cramp,0
